id,amount_tsh,gps_height,installer,longitude,latitude,basin,subvillage,region,region_code,district_code,lga,ward,population,scheme_management,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group
10144,0,1996,215,35.2907992,-4.05969643,0,3917,8,21,3,63,17,321,3,1,2012,9,6,3,3,2,0,2,6,2,3,3,5,3,1,6,5
10319,0,1569,222,36.65670893,-3.30921425,5,2718,0,2,2,0,650,300,7,1,2000,3,1,0,7,4,0,2,6,2,2,2,8,6,0,1,1
3416,0,1567,0,34.76786315,-5.00434437,0,5399,18,13,2,109,1677,500,7,2,2010,9,6,3,7,4,0,2,6,2,2,2,5,3,1,6,5
9123,0,267,263,38.05804609,-9.41867222,7,2796,7,80,13,49,1192,250,7,1,1987,9,6,3,7,4,6,6,6,2,0,0,7,5,0,6,5
9953,500,1260,76,35.00612345,-10.950412,7,3545,16,10,3,61,1075,60,10,1,2000,3,1,0,9,4,3,1,6,2,1,1,8,6,0,1,1
10474,0,1685,222,36.68527855,-3.30242017,5,4320,0,2,2,0,346,200,7,1,1990,3,1,0,7,4,0,2,6,2,1,1,8,6,0,1,1
4937,0,550,304,36.39804116,-7.54138236,6,2428,3,11,7,34,931,600,7,1,2007,4,2,1,7,4,0,2,4,4,1,1,3,0,0,4,3
5735,0,234,274,39.60741997,-10.89378645,7,1373,12,9,4,116,1048,1,10,1,1982,13,10,5,7,4,0,2,6,2,0,0,3,0,0,2,1
7208,30,584,473,39.2629507,-10.82358805,7,202,12,90,12,88,1217,40,7,0,1997,3,1,0,7,4,4,5,6,2,2,2,8,6,0,1,1
10790,0,1083,487,37.09610836,-3.25175375,5,815,6,3,7,106,1777,1,10,1,2003,3,1,0,9,4,3,1,6,2,1,1,8,6,0,1,1
80,5,1259,105,37.23324768,-3.24112116,5,7473,6,3,5,16,892,75,10,1,2006,3,1,0,9,4,4,5,6,2,1,1,8,6,0,1,1
9159,0,608,1051,37.68639178,-4.55597478,5,7362,8,21,4,108,1721,500,0,1,2002,9,6,3,7,4,0,2,6,2,0,0,5,3,1,6,5
116,0,0,91,33.66107435,-4.16572015,0,737,19,14,2,19,415,0,2,1,0,7,4,2,7,4,6,6,6,2,0,0,3,0,0,2,1
2795,0,0,222,33.00768032,-3.2095291,4,1420,13,19,4,45,91,0,7,1,0,7,4,2,7,4,4,5,6,2,1,1,3,0,0,2,1
8922,1000,1625,197,35.61562385,-7.87029042,6,8385,3,11,1,24,1271,1,7,1,1984,3,1,0,7,4,3,1,6,2,1,1,8,6,0,1,1
8067,1200,916,222,35.48288627,-10.91259619,7,5055,16,10,2,111,1484,0,7,1,1989,3,1,0,7,4,2,0,6,2,1,1,6,4,1,2,1
5510,0,-39,0,39.85018977,-7.72794628,6,106,14,6,6,53,496,900,7,0,0,8,5,1,7,4,0,2,6,2,1,1,7,5,0,4,3
5702,200,1793,222,38.25402354,-4.5658016,5,3877,20,4,1,52,1682,1,7,1,1978,3,1,0,7,4,3,1,6,2,1,1,8,6,0,1,1
5618,0,0,222,31.58679783,-3.38780779,3,361,17,17,5,9,1714,0,3,1,0,3,1,0,3,2,6,6,6,2,3,3,5,3,1,1,1
3673,0,368,274,39.43852591,-10.58336646,7,3491,12,9,4,116,143,300,10,1,1982,13,10,5,7,4,0,2,6,2,0,0,3,0,0,1,1
14018,0,-27,1,39.32230666,-6.85026202,8,2901,1,7,3,119,1927,120,5,0,2010,13,10,5,2,1,0,2,6,2,1,1,3,0,0,1,1
